id,name,description,manufacturer,price
http://www.google.com/base/feeds/snippets/13364214809208487698,edius pro 4,whether you are working with standard definition or high definition video grass valley edius pro nle software frees you from the limitations of conventional editing systems. edius pro software can be upgraded to edius broadcast at any time.,canopus/grass valley,585.99
http://www.google.com/base/feeds/snippets/15021215942793908400,individual software qne-t15 typing quick & easy 15.0,typing quick & easy 15.0,individual software,24.99
http://www.google.com/base/feeds/snippets/14941513108998426217,punch software 20100 punch! 5 in 1 home design,total interior and exterior home design with realistic high-resolution 3d graphics!,punch software,35.99
http://www.google.com/base/feeds/snippets/17661636837802252450,individual software prm-wn5 professor teaches windows xp,professor teaches windows xp,individual software,24.99
http://www.google.com/base/feeds/snippets/16738828984601610049,bling software limited safekeeper plus,safekeeper is the first software product that offers total protection for both your family and computer. safekeeper is the only product to offer the kidsafe blocker family watchdog and safety shield. it has the best anti-virus protection - rated ...,"",34.75
http://www.google.com/base/feeds/snippets/17906389094236166562,studio ultimate version 11,studioâ?¢ ultimate version 11 from pinnacleâ?¢ lets you take complete control of your video quality and style by pairing the pinnacle studio plus video editing software with highly-acclaimed audio and video tools. this full-featured application lets ...,"",129
http://www.google.com/base/feeds/snippets/14251829051018651936,novell identity manager integration module for mainframe for 900 series mvs - (,mainframe 1inst lic + 1yr mnt vlal9,"",90108.95
http://www.google.com/base/feeds/snippets/4275522505692124554,novell identity manager integration module for mainframe for 900 series mvs - (,mainframe 1inst lic + 1yr mnt vlal9,"",90108.95
http://www.google.com/base/feeds/snippets/10496277297966281940,punch software 20100 punch! 5 in 1 home design,total interior and exterior home design with realistic high-resolution 3d graphics! 20100 punch software,punch software,35.99
http://www.google.com/base/feeds/snippets/11781128027326824787,individual software jce-th6 total 3d home deluxe j/c,total 3d home deluxe j/c jce-th6 individual software,individual software,9.99
http://www.google.com/base/feeds/snippets/13851180779356119317,novell identity manager integration module for mainframe for 900 series mvs - (,mod3 mainframe lics+1yr mnt vlal1,"",179952.95
http://www.google.com/base/feeds/snippets/7556745099477533465,novell identity manager integration module for mainframe for 900 series mvs - (,mod3 mainframe lics+1yr mnt vlal1,"",179952.95
http://www.google.com/base/feeds/snippets/18394332776181186072,digital video& audio prod book,launch your video & audio skills to new heights with the digital video & audio production. newly revised for version 7 by the original authors this book puts the stunning capabilities of vegas software right where they belong: in your production ...,"",27.5
http://www.google.com/base/feeds/snippets/14244906079749416423,individual software prm-rce resumemaker career edition,resumemaker career edition prm-rce individual software,individual software,34.99
http://www.google.com/base/feeds/snippets/15694563717998160100,individual software qne-t15 typing quick & easy 15.0,typing quick & easy 15.0 qne-t15 individual software,individual software,24.99
http://www.google.com/base/feeds/snippets/12604725900103506627,elementary school success deluxe 2006,the new definition of achievement the leading-edge suite of software tools for the personal computer.providing all elementary students with a uniquely diverse fundamental course of study. elementary school success deluxe 2006 is the zenith of ...,"",15.9
http://www.google.com/base/feeds/snippets/16702106469790828707,individual software prm-xw3 professor teaches excel & word,professor teaches excel & word prm-xw3 individual software,individual software,24.99
http://www.google.com/base/feeds/snippets/9200068133591804002,individual software prm-xw3 professor teaches excel & word,professor teaches excel & word prm-xw3 individual software,individual software,24.99
http://www.google.com/base/feeds/snippets/2761414112968696300,individual software jce-wn5 professor teaches windows j/c,professor teaches windows j/c jce-wn5 individual software,individual software,9.99
http://www.google.com/base/feeds/snippets/2243626822249275608,individual software prm-wn5 professor teaches windows xp,professor teaches windows xp prm-wn5 individual software,individual software,24.99
http://www.google.com/base/feeds/snippets/2396644862873280062,native instruments traktor dj studio 3 - software based dj rig music production software,traktor dj studio 3 - software based dj rig - stand alone running under core audio on mac os x and asio and directsound on windows xp traktor dj studio 3 is the professional dj software for live mixing and mix production. with the availability of ...,"",199
http://www.google.com/base/feeds/snippets/11023384475486845617,punch software 20100 punch! 5 in 1 home design,total interior and exterior home design with realistic high-resolution 3d graphics! 20100 punch software,punch software,35.99
http://www.google.com/base/feeds/snippets/11843865066277931206,individual software jce-wn5 professor teaches windows j/c,professor teaches windows j/c jce-wn5 individual software,individual software,9.99
http://www.google.com/base/feeds/snippets/11392431272026939560,individual software prm-wn5 professor teaches windows xp,professor teaches windows xp prm-wn5 individual software,individual software,24.99
http://www.google.com/base/feeds/snippets/10121034673222484873,punch software 17100 punch! super home suite,our bestselling premium home design software with professional yet easy-to-use features! 17100 punch software,punch software,45.99
http://www.google.com/base/feeds/snippets/8376577004489658408,punch software 17100 punch! super home suite,our bestselling premium home design software with professional yet easy-to-use features! 17100 punch software,punch software,45.99
http://www.google.com/base/feeds/snippets/4396288556489492682,individual software jce-th6 total 3d home deluxe j/c,total 3d home deluxe j/c jce-th6 individual software,individual software,9.99
http://www.google.com/base/feeds/snippets/3544304577464937584,individual software prm-rce resumemaker career edition,resumemaker career edition prm-rce individual software,individual software,34.99
